Package Name,Version,License (SPDX),Permissive?,Source,Dependency Type,Repository URL,Description,Notes
serde,1.0.228,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/serde-rs/serde,A generic serialization/deserialization framework,Derives the cuda-intrinsics-gen catalog and overlay data model.
serde_json,1.0.149,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/serde-rs/json,A JSON serialization file format,Reads and writes the intrinsics catalog and cargo-oxide JSON output.
sha2,0.10.9,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/RustCrypto/hashes,"Pure Rust implementation of the SHA-2 hash function family including SHA-224, SHA-256, SHA-384, and SHA-512.",Content hashing for artifact provenance and codegen fingerprints.
shlex,1.3.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/comex/rust-shlex,"Split a string into shell words, like Python's shlex.",
slotmap,1.1.1,Zlib,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/orlp/slotmap,Slotmap data structure,
smallvec,1.15.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/servo/rust-smallvec,'Small vector' optimization: store up to a small number of items on the stack,
syn,2.0.114,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/syn,Parser for Rust source code,
tempfile,3.27.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/Stebalien/tempfile,A library for managing temporary files and directories.,Used by cuda-oxide-codegen for the standalone compiler's RAII scratch directory.
thiserror,2.0.18,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/thiserror,derive(Error),
thiserror-impl,2.0.18,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/thiserror,Implementation detail of the `thiserror` crate,
tokio,1.52.3,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/tokio-rs/tokio,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications.","async_mlp, async_vecadd and cutile_inter_kernel use the multi-threaded runtime for the async host harness."
tokio-macros,2.7.0,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/tokio-rs/tokio,Tokio's proc macros.,"Proc-macro half of tokio; pulled in by its ""macros"" feature."
toml,1.1.2+spec-1.1.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/toml-rs/toml,A native Rust encoder and decoder of TOML-formatted files and streams. Provides implementations of the standard Serialize/Deserialize traits for TOML data to facilitate deserializing and serializing Rust structures.,Parses the intrinsic overlay shards and the append-only ABI ledger.
triple_arena,0.14.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/triple_arena,"Regular, Chain, Surjection, and Ordered Arenas supporting non-Clone types, deletion, and more",
trybuild,1.0.116,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/trybuild,Test harness for ui tests of compiler diagnostics,"Dev-only: drives the compile-fail and pass suites for cuda-core, cuda-device and cuda-macros."
unicode-ident,1.0.22,(MIT OR Apache-2.0) AND Unicode-3.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/unicode-ident,Determine whether characters have the XID_Start or XID_Continue properties according to Unicode Standard Annex #31,
unicode-segmentation,1.12.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/unicode-rs/unicode-segmentation,"This crate provides Grapheme Cluster, Word and Sentence boundaries according to Unicode Standard Annex #29 rules.",
utf8-chars,3.0.6,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/A1-Triard/utf8-chars,Char-by-char iterator and `read_char` method for `BufRead`.,
version_check,0.9.5,MIT/Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/SergioBenitez/version_check,Tiny crate to check the version of the installed/running rustc.,
windows-link,0.2.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/microsoft/windows-rs,Linking for Windows,"Platform-conditional: only compiled for Windows targets, never on Linux. Pulled in by libloading."
zerocopy,0.8.34,BSD-2-Clause OR Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/google/zerocopy,"Zerocopy makes zero-cost memory manipulation effortless. We write ""unsafe"" so you don't have to.",
zerocopy-derive,0.8.34,BSD-2-Clause OR Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/google/zerocopy,Custom derive for traits from the zerocopy crate,
